lap,time
142988
146005
3133785
93493
92765
92685
92593
92899
92933
92911
92742
92432
92491
93033
93177
92458
92148
92462
92347
92306
91940
92405
92791
92925
111204
99012
93021
93241
92824
92005
91676
91953
91875
93071
91995
91562
91514
91134
91208
91825
91347
91982
91541
91693
91229
91177
91649
91224
91023
90945
91804
92242
91708
91273
91358
90993
91400
91645
